postal_code,Years,useful,funny,cool,Price,use_change,fun_change,coo_change,pri_change,use_median,fun_median,coo_median,pri_median,use_std,fun_std,coo_std,pri_std,stars_1,stars_2,stars_3,stars_4,stars_5,Star1_change,Star2_change,Star3_change,Star4_change,Star5_change,stars,sta_median,sta_std,reviews_perc,prev_stars,Star_change,NumBsqft_Rev,Bsqft_change,MedPrice_sqft(t),MedPrice_sqft_tminus1,MedPrice_sqft_tminus2,MedPrice_sqft_tplus1
15024,2016,0.413793103,0.137931034,0.206896552,1.555555556,0.24137931,-0.379310345,0.862068966,-0.042735043,0,0,0,1,0.682288239,0.350931203,0.559292304,0.726483157,0.172413793,0.034482759,0.172413793,0.24137931,0.379310345,-0.612068966,-0.844827586,0,0,0.137931034,3.620689655,4,1.473911053,0.000659631,2.555555556,0.416791604,1.736526946,2.222222222,100,99,96.5,102.5
15025,2010,3,0,0,1,0,0,0,0,3,0,0,1,2.828427125,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0.000318725,3.75,0.333333333,0.120481928,0,53,54.5,56,55
15025,2011,1.6,0.4,0.4,2,-0.466666667,0,0,1,1,0,0,2,1.516575089,0.894427191,0.894427191,0.816496581,0.2,0,0.2,0.2,0.4,0,0,0,0,-0.6,3.6,4,1.673320053,0.000428486,5,-0.28,0.240963855,1,55,53,54.5,54
15025,2012,2.642857143,1.285714286,1.357142857,2,0.651785714,2.214285714,2.392857143,0,1.5,0,0,2,4.617810718,3.429029273,3.692135985,0.632455532,0,0,0.071428571,0.571428571,0.357142857,-1,0,-0.642857143,1.857142857,-0.107142857,4.285714286,4,0.611249846,0.000837421,3.6,0.19047619,0.361445783,0.5,54,55,53,54
15025,2013,1.0625,0.3125,0.25,2,-0.597972973,-0.756944444,-0.815789474,0,0,0,0,2,2.351418012,0.602079729,0.577350269,0.632455532,0.1875,0.0625,0.125,0.375,0.25,0,0,0.75,-0.34375,-0.3,3.4375,4,1.459166429,0.000760239,4.285714286,-0.197916667,0.361445783,0,54,54,55,54
15025,2014,0.75,0.178571429,0.25,2,-0.294117647,-0.428571429,0,0,0,0,0,2,1.075828707,0.611832186,0.700528901,0.816496581,0.035714286,0.25,0.071428571,0.25,0.392857143,-0.80952381,3,-0.428571429,-0.333333333,0.571428571,3.714285714,4,1.329359157,0.000971784,3.4375,0.080519481,0.843373494,1.333333333,54,54,54,57
15025,2015,0.588235294,0.264705882,0.323529412,2.3,-0.215686275,0.482352941,0.294117647,0.15,0,0,0,2,1.908793797,0.898106545,1.065167172,0.674948558,0.176470588,0.058823529,0.176470588,0.205882353,0.382352941,3.941176471,-0.764705882,1.470588235,-0.176470588,-0.026737968,3.558823529,4,1.501336303,0.000873766,3.714285714,-0.041855204,2.048192771,1.428571429,57,54,54,63
15025,2016,0.304347826,0.130434783,0.195652174,2.083333333,-0.482608696,-0.507246377,-0.395256917,-0.094202899,0,0,0,2,0.785127455,0.54195923,0.859445951,0.792961461,0.260869565,0.065217391,0.108695652,0.217391304,0.347826087,0.47826087,0.108695652,-0.384057971,0.055900621,-0.090301003,3.326086957,4,1.633732575,0.001046311,3.558823529,-0.065397054,2.771084337,0.352941176,63,57,54,66.5
15034,2013,2.25,1.5,1.5,1.5,0,0,0,0,2,1.5,2,1.5,2.061552813,1.290994449,1,0.707106781,0,0,0,0.25,0.75,0,0,0,0,0,4.75,5,0.5,0.00019006,4,0.1875,3,0,46.5,48.5,52,50
15034,2014,0.5,0,0,2,-0.777777778,-1,-1,0.333333333,0,0,0,2,0.755928946,0,0,0.816496581,0.25,0,0.25,0.125,0.375,0,0,0,-0.5,-0.5,3.375,3.5,1.685018016,0.000277652,4.75,-0.289473684,5,0.666666667,50,46.5,48.5,51.5
