postal_code,Years,useful,funny,cool,Price,stars_1,stars_2,stars_3,stars_4,stars_5,stars,reviews_perc,prev_stars,stars_perc,Perc_Change_tminus1,Per_Change_t,Perc_Change_tplus1
15129,2014,1.023255814,0.418604651,0.441860465,2.083333333,0.279069767,0.11627907,0.046511628,0.162790698,0.395348837,3.279069767,0.001492382,4.192307692,-0.217836569,0.036842105,0.035532995,0.06372549
15129,2015,1.409090909,0.477272727,0.613636364,1.916666667,0.272727273,0.068181818,0.136363636,0.113636364,0.409090909,3.318181818,0.001130757,3.279069767,0.011927789,0.035532995,0.06372549,0.073732719
15129,2016,0.411764706,0.098039216,0.098039216,1.846153846,0.274509804,0.117647059,0.117647059,0.254901961,0.235294118,3.058823529,0.00116004,3.318181818,-0.078162772,0.06372549,0.073732719,0.008583691
15129,2017,0,0,0,2,0.5,0,0,0,0.5,3,0.000800641,3.058823529,-0.019230769,0.073732719,0.008583691,-1
15131,2009,1,0,1,2,0,0,0,1,0,4,0.000276472,,0.333333333,-0.014084507,0,0
15131,2010,1.857142857,0.142857143,0.142857143,2.2,0,0.142857143,0.142857143,0.571428571,0.142857143,3.714285714,0.001115538,4,-0.071428571,0,0,-0.007142857
15131,2011,0.6,0.1,0.2,2.166666667,0.2,0,0.2,0.4,0.2,3.4,0.000856971,3.714285714,-0.084615385,0,-0.007142857,-0.035971223
15131,2012,2,0,0.3,2,0.2,0,0.1,0.4,0.3,3.6,0.000598158,3.4,0.058823529,-0.007142857,-0.035971223,0
15131,2013,0.52173913,0.260869565,0.086956522,2,0.260869565,0.173913043,0.086956522,0.260869565,0.217391304,3,0.001092844,3.6,-0.166666667,-0.035971223,0,0.037313433
15131,2014,0.558823529,0.147058824,0.088235294,1.933333333,0.088235294,0.147058824,0.147058824,0.264705882,0.352941176,3.647058824,0.001180023,3,0.215686275,0,0.037313433,0.050359712
15131,2015,0.275362319,0.086956522,0.057971014,2,0.101449275,0.173913043,0.15942029,0.188405797,0.376811594,3.565217391,0.001773232,3.647058824,-0.022440393,0.037313433,0.050359712,0.04109589
15131,2016,0.15625,0.03125,0.03125,1.888888889,0.15625,0.09375,0.125,0.25,0.375,3.59375,0.001455737,3.565217391,0.008003049,0.050359712,0.04109589,0.046052632
